target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.95,split_conformal_source_calibration,1146,0.944153577661431,-0.005846422338568913,1.344677137870855,0.7436729396495783,0.6553228621291448,0.0,1.0,0.6831683168316832
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.95,adaptive_transport_conformal,1146,0.944153577661431,-0.005846422338568913,1.344677137870855,0.7436729396495783,0.6553228621291448,0.0,1.0,0.6831683168316832
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,split_conformal_source_calibration,384,0.1875,-0.6125,0.21354166666666666,4.682926829268293,0.21354166666666666,0.7864583333333334,0.232,0.1044776119402985
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,384,0.21614583333333334,-0.5838541666666667,0.25,4.0,0.25,0.75,0.272,0.11194029850746269
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.9,split_conformal_source_calibration,384,0.5104166666666666,-0.3895833333333334,0.7265625,1.3763440860215055,0.7265625,0.2734375,0.584,0.373134328358209
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.9,adaptive_transport_conformal,384,0.5677083333333334,-0.33229166666666665,0.8489583333333334,1.1779141104294477,0.8489583333333334,0.15104166666666666,0.64,0.43283582089552236
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.95,split_conformal_source_calibration,384,0.9453125,-0.004687499999999956,1.7005208333333333,0.5880551301684533,0.2994791666666667,0.0,0.928,0.9776119402985075
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.95,adaptive_transport_conformal,384,0.9453125,-0.004687499999999956,1.6953125,0.5898617511520737,0.3046875,0.0,0.928,0.9776119402985075
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.8,split_conformal_source_calibration,384,0.23697916666666666,-0.5630208333333334,0.25,4.0,0.25,0.75,0.364,0.0
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.8,adaptive_transport_conformal,384,0.2552083333333333,-0.5447916666666668,0.2708333333333333,3.6923076923076925,0.2708333333333333,0.7291666666666666,0.392,0.0
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.9,split_conformal_source_calibration,384,0.5052083333333334,-0.39479166666666665,0.7239583333333334,1.3812949640287768,0.7239583333333334,0.2760416666666667,0.688,0.16417910447761194
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.9,adaptive_transport_conformal,384,0.5651041666666666,-0.3348958333333334,0.84375,1.1851851851851851,0.84375,0.15625,0.736,0.2462686567164179
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.95,split_conformal_source_calibration,384,0.96875,0.018750000000000044,1.6875,0.5925925925925926,0.3125,0.0,0.996,0.917910447761194
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.95,adaptive_transport_conformal,384,0.96875,0.018750000000000044,1.6875,0.5925925925925926,0.3125,0.0,0.996,0.917910447761194
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.8,split_conformal_source_calibration,384,0.2786458333333333,-0.5213541666666668,0.3125,3.2,0.3125,0.6875,0.392,0.06716417910447761
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.8,adaptive_transport_conformal,384,0.2786458333333333,-0.5213541666666668,0.3125,3.2,0.3125,0.6875,0.392,0.06716417910447761
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.9,split_conformal_source_calibration,384,0.5286458333333334,-0.37135416666666665,0.7760416666666666,1.2885906040268458,0.7760416666666666,0.22395833333333334,0.672,0.26119402985074625
