target_dataset,feature_set,model,scenario,calibration_method,conformal_method,equal_opportunity_difference,calibration_difference,coverage_gap_between_groups,reliability_gap
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.29166666666666674,0.1171312219671155,0.19869096985826573,0.29166666666666674
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,0.24545454545454543,0.05772835589953179,0.14181159868787518,0.24545454545454543
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.26363636363636367,0.0962013444636024,0.14083678900786034,0.26363636363636367
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.26363636363636367,0.09620135167206681,0.14083678900786034,0.26363636363636367
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,0.2177580466148723,0.09345915845046546,0.1942037506962926,0.2177580466148723
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.19696969696969702,0.05964145095764214,0.19343009222009033,0.19696969696969702
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,0.19696969696969702,0.05964145095764214,0.19343009222009033,0.19696969696969702
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.3204545454545455,0.06750149171600438,0.41978708918734914,0.41978708918734914
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,adaptive_transport_conformal,0.251336898395722,0.08478275867606773,0.23336634276165136,0.251336898395722
NHANES,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.251336898395722,0.15353517443005232,0.2060871448907594,0.251336898395722
NHANES,model_c_extended_transport,CatBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.22780748663101608,0.07709627452033924,0.3566720306987683,0.3566720306987683
NHANES,model_c_extended_transport,CatBoost,fixed_recalibration,isotonic,adaptive_transport_conformal,0.22780748663101608,0.07709627452033924,0.3566720306987683,0.3566720306987683
NHANES,model_c_extended_transport,CatBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.251336898395722,0.12487748131257206,0.2748499102556168,0.2748499102556168
NHANES,model_c_extended_transport,LightGBM,adaptive_calibration,isotonic,adaptive_transport_conformal,0.23957219251336898,0.0727278197118693,0.1852447855418704,0.23957219251336898
NHANES,model_c_extended_transport,LightGBM,fixed_recalibration,temperature,adaptive_transport_conformal,0.29166666666666674,0.04515872372696202,0.22479420684533025,0.29166666666666674
