target_dataset,feature_set,model,scenario,calibration_method,conformal_method,marginal_coverage,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high,average_prediction_set_size,referral_rate,clinical_cost
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,multi_objective_dp_shift_atcp,0.859375,0.8584114583333333,0.8255208333333334,0.890625,1.3984375,0.3984375,1.0416666666666667
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,source_split_conformal,0.859375,0.8581857638888888,0.8229166666666666,0.8932291666666666,1.3489583333333333,0.3489583333333333,1.203125
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,importance_weighted_source_conformal,0.859375,0.8581857638888888,0.8229166666666666,0.8932291666666666,1.3489583333333333,0.3489583333333333,1.203125
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,target_only_conformal,0.9010416666666666,0.9006770833333333,0.8697916666666666,0.9284505208333332,1.4921875,0.4921875,1.3958333333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,adaptive_transport_conformal,0.859375,0.8581857638888888,0.8229166666666666,0.8932291666666666,1.3489583333333333,0.3489583333333333,1.203125
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,weighted_target_dominant_atcp,0.9010416666666666,0.9006770833333333,0.8697916666666666,0.9284505208333332,1.4921875,0.4921875,1.3958333333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,shift_aware_source_trust_atcp,0.9010416666666666,0.9006770833333333,0.8697916666666666,0.9284505208333332,1.4921875,0.4921875,1.3958333333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,class_conditional_weighted_atcp,0.9166666666666666,0.9159375,0.8866536458333333,0.9427083333333334,1.5625,0.5625,1.2291666666666667
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,risk_asymmetric_shift_atcp,0.90625,0.9054340277777777,0.8736328125,0.9322916666666666,1.5390625,0.5390625,1.1927083333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,dp_shift_atcp,0.90625,0.9054340277777777,0.8736328125,0.9322916666666666,1.5390625,0.5390625,1.1927083333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,safety_gated_atcp,0.9010416666666666,0.9006770833333333,0.8697916666666666,0.9284505208333332,1.4921875,0.4921875,1.3958333333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,safety_gated_shift_atcp,0.9010416666666666,0.9006770833333333,0.8697916666666666,0.9284505208333332,1.4921875,0.4921875,1.3958333333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,multi_objective_safety_gated_atcp,0.9010416666666666,0.9006770833333333,0.8697916666666666,0.9284505208333332,1.4921875,0.4921875,1.3958333333333333
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,multi_objective_dp_shift_atcp,0.90625,0.9054340277777777,0.8736328125,0.9322916666666666,1.5390625,0.5390625,1.1927083333333333
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,source_split_conformal,0.8708551483420593,0.8711431064572427,0.8534031413612565,0.8913830715532286,0.9921465968586387,0.007853403141361256,0.28097731239092494
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,importance_weighted_source_conformal,0.8708551483420593,0.8711431064572427,0.8534031413612565,0.8913830715532286,0.9921465968586387,0.007853403141361256,0.28097731239092494
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,target_only_conformal,0.9075043630017452,0.9074810936591041,0.8922120418848167,0.9245418848167539,1.0541012216404886,0.05410122164048865,0.3193717277486911
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.8708551483420593,0.8711431064572427,0.8534031413612565,0.8913830715532286,0.9921465968586387,0.007853403141361256,0.28097731239092494
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,weighted_target_dominant_atcp,0.9075043630017452,0.9074810936591041,0.8922120418848167,0.9245418848167539,1.0541012216404886,0.05410122164048865,0.3193717277486911
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,shift_aware_source_trust_atcp,0.9075043630017452,0.9074810936591041,0.8922120418848167,0.9245418848167539,1.0541012216404886,0.05410122164048865,0.3193717277486911
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,class_conditional_weighted_atcp,0.9066317626527051,0.9064834205933683,0.8909249563699826,0.9227966841186735,1.149214659685864,0.14921465968586387,0.4790575916230366
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,risk_asymmetric_shift_atcp,0.893542757417103,0.8938888888888887,0.8769633507853403,0.9114528795811517,1.1736474694589878,0.1736474694589878,0.5305410122164049
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,dp_shift_atcp,0.9066317626527051,0.9064834205933683,0.8909249563699826,0.9227966841186735,1.149214659685864,0.14921465968586387,0.4790575916230366
